Recipe Name,Ingredients,Description,Dietary Filters
Avocado Chicken,"avocado, basil, soy sauce, chicken","A chicken and avocado served with basil and soy sauce that combines avocado, basil, soy sauce, chicken.",Gluten-Free
Broccoli Sandwich,"broccoli, garlic, basil, olive oil","A broccoli sandwich with garlic and basil that combines broccoli, garlic, basil, olive oil.","Vegetarian, Vegan, Gluten-Free"
Basil Stew,"basil, chicken, cucumber, tomato","A basil stew with chicken and cucumber that combines basil, chicken, cucumber, tomato.",Gluten-Free
Chickpeas Stir-Fry,"chickpeas, basil, soy sauce, chicken","A chickpeas stir-fry with basil and soy sauce that combines chickpeas, basil, soy sauce, chicken.",Gluten-Free
Cheese n Chicken Pasta,"pasta, cheese, chicken, avocado","A pasta with cheese and chicken that combines pasta, cheese, chicken, avocado.",None
Cheese Platter,"cheese, basil, spinach, soy sauce","A cheese with basil and a touch of spinach that combines cheese, basil, spinach, soy sauce.","Vegetarian, Gluten-Free"
Tofu,"tofu, rice, basil, avocado","A tofu with rice and a touch of basil that combines tofu, rice, basil, avocado.","Vegetarian, Vegan, Gluten-Free"
Quinoa Stir-Fry,"quinoa, basil, lentils, pasta","A quinoa stir-fry with basil and lentils that combines quinoa, basil, lentils, pasta.","Vegetarian, Vegan"
Baked Lentils,"lentils, cucumber, lemon, chicken","A baked lentils with cucumber and lemon that combines lentils, cucumber, lemon, chicken.",Gluten-Free
Olive Oil Soup,"olive oil, lentils, chicken, egg","An olive oil soup served with lentils and chicken that combines olive oil, lentils, chicken, egg.",Gluten-Free
Beef Soup,"beef, garlic, spinach, lemon","A beef soup with garlic and spinach that combines beef, garlic, spinach, lemon.",Gluten-Free
Quinoa Stew,"quinoa, basil, lentils, soy sauce","A quinoa stew with basil and lentils that combines quinoa, basil, lentils, soy sauce.","Vegetarian, Vegan, Gluten-Free"
Spinach Rice,"olive oil, spinach, rice, basil","A spinach rice that combines olive oil, spinach, rice, basil.","Vegetarian, Vegan, Gluten-Free"
Baked Onion,"onion, broccoli, chicken, lentils","A baked onion with broccoli and chicken that combines onion, broccoli, chicken, lentils.",Gluten-Free
Garden Egg Served,"basil, egg, flour, cheese","An egg with basil that combines basil, egg, flour, cheese.",Vegetarian
Sugar Chicken,"chicken, sugar, egg, lemon","A chicken served with sugar and egg that combines chicken, sugar, egg, lemon.",Gluten-Free
Garlic Beef Stew,"beef, lentils, chickpeas, garlic","A beef stew with lentils and chickpeas that combines beef, lentils, chickpeas, garlic.",Gluten-Free
